Doc inv;Item;Posici.;Material;Descripción;Stock en cantidad;Stock en valor;Versión;Ultimo recuento en ctd;Ultimo recuento en valor;Dif.en cantidad;Dif. en %;Dif en valor;Dif. en valor absoluto
0000049287;0001;C1 26 4E;285557000R I;CALCULADOR AIRBAG;             1,00;        60.660,75;00;             0,00;             0,00;-             1,00;           100,00;-        60.660,75;        60.660,75
0000049288;0001;SA9 01A01;248096442R I;TABLEAU BORD;             1,00;             0,00;00;             0,00;             0,00;-             1,00;             0,00;             0,00;             0,00
0000049289;0001;MA0220H 16;7703074625 I;OBTURATEUR 30X60 THERMO-FUSIBLE;             1,00;           490,11;00;             0,00;             0,00;-             1,00;           100,00;-           490,11;           490,11
0000049290;0001;G1 03 0P;850224632R I;PIEL PARAGOLPE TRASERO KWID;           146,00;     1.685.672,20;00;           146,00;     1.685.672,20;             0,00;             0,00;             0,00;             0,00
0000049291;0001;D4 61 1F;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            10,00;       922.490,60;00;            10,00;       922.490,60;             0,00;             0,00;             0,00;             0,00
0000049291;0002;D4 61 3E;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            10,00;       922.490,60;00;            10,00;       922.490,60;             0,00;             0,00;             0,00;             0,00
0000049291;0003;D4 63 1E;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            10,00;       922.490,60;00;            10,00;       922.490,60;             0,00;             0,00;             0,00;             0,00
0000049291;0004;D4 63 3E;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            10,00;       922.490,60;00;            10,00;       922.490,60;             0,00;             0,00;             0,00;             0,00
0000049291;0005;D4 63 5D;738204986R I;BARRA DE TECHO LONG DER U79 PH1;             6,00;       553.494,36;00;             6,00;       553.494,36;             0,00;             0,00;             0,00;             0,00
0000049291;0006;D4 63 5F;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            11,00;     1.014.739,66;00;            11,00;     1.014.739,66;             0,00;             0,00;             0,00;             0,00
0000049292;0001;W1 03 2A;738204986R I;BARRA DE TECHO LONG DER U79 PH1;             4,00;       368.996,24;00;             4,00;       368.996,24;             0,00;             0,00;             0,00;             0,00
0000049293;0001;W1 07 3B;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            11,00;     1.014.739,66;00;            11,00;     1.014.739,66;             0,00;             0,00;             0,00;             0,00
0000049293;0002;W2 28 3D;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            12,00;     1.106.988,72;00;            12,00;     1.106.988,72;             0,00;             0,00;             0,00;             0,00
0000049293;0003;W2 36 1D;738204986R I;BARRA DE TECHO LONG DER U79 PH1;            12,00;     1.106.988,72;00;            11,00;     1.014.739,66;-             1,00;             8,33;-        92.249,06;        92.249,06
0000049294;0001;MA0315D 03;485217802R I;BRAZO DE DIRECCION - AX-FU HJD PH1;             9,00;       165.888,36;00;             8,00;       147.456,32;-             1,00;            11,11;-        18.432,04;        18.432,04
0000049294;0002;MA0317C 01;8200830182 I;CORREA ALTERNADOR;            13,00;        48.121,32;00;            13,00;        48.121,32;             0,00;             0,00;             0,00;             0,00
0000049294;0003;MB0208C 02;8200735437 I;PROTECTOR RUEDA DEL. DER.;             2,00;       103.093,56;00;             2,00;       103.093,56;             0,00;             0,00;             0,00;             0,00
0000049295;0001;HA0613B 01;8200735437 I;PROTECTOR RUEDA DEL. DER.;            19,00;       979.388,82;00;            19,00;       979.388,82;             0,00;             0,00;             0,00;             0,00
